row_type,location,zbar_m,Ebar_MeV,sigE_MeV,sigz_deg@214,sigz_deg@2856,capture_in_bucket_pct,capture_all_buckets_pct
repo,A at Gun,0.0467,0.146,0.005,1.07,14.25,,
tan_published,Tan (published),,0.150,0.000,31.70,428.80,100.0,100.0
delta,Δ (repo−Tan),,-0.004,0.005,-30.631,-414.545,,
repo,B before Preb2,1.1634,0.141,0.015,16.20,216.00,,
tan_published,Tan (published),,0.139,0.023,14.40,194.80,100.0,100.0
delta,Δ (repo−Tan),,0.002,-0.008,1.799,21.200,,
repo,C before Sec1,2.0132,0.281,0.024,20.84,277.87,n/a (pre-iris),n/a (pre-iris)
tan_published,Tan (published),,0.253,0.043,5.57,75.30,100.0,100.0
delta,Δ (repo−Tan),,0.028,-0.019,15.268,202.565,,
repo,D after Sec1,3.3993,26.274,5.343,,163.87,2.34,2.90
tan_published,Tan (published),,27.200,3.500,,11.10,89.4,96.8
delta,Δ (repo−Tan),,-0.926,1.843,,n/a (multi-bucket),,
